plotID,TreeKey,SpeciesAbbrev,Azimuth,Distance,CrownWidth1,CrownWidth2,CrownOffsetAzimuth,CrownOffsetDistance,Z
188,48428,Sb,118.1,8,2.49,1.3,0,0,10.4
188,48429,Sb,114.2,8.1,1.98,0.94,0,0,10.8
188,48430,Sb,104.7,8.4,1.62,1.57,0,0,10.3
188,48431,Sb,111.6,8.7,2.27,2.07,0,0,11.5
188,48432,Sb,100.8,9.7,2.08,1.74,0,0,9.5
188,48434,Sb,122.7,10.1,2.74,2.75,0,0,11.3
188,48435,Sb,157.4,2.9,2.38,1.94,0,0,9.7
242,49981,Pj,189,0.2,3.02,1.99,0,0,19
242,49982,Sb,219.8,4,3.03,1.94,0,0,12.5
242,49983,Sb,213.2,4.4,1.9,2.51,0,0,16.7
242,49984,Sb,207.5,4.5,3.22,2.17,0,0,14.8
242,49985,Sb,185,5.6,2.86,3.15,0,0,16.8
242,49986,Sb,191,7,3.19,2.11,0,0,14.4
242,49987,Sb,221.4,5.8,3.38,2.79,0,0,17.7
242,49988,Sb,199.5,8.7,3.08,2.73,0,0,17
242,49989,Sb,191,10.9,2.31,2.33,0,0,11.6
242,49991,Sb,241.6,2.1,2.36,3.33,0,0,15.2
242,49993,Pj,253.7,4.9,4.03,3.49,0,0,20.8
242,49994,Sb,246.3,5,2.18,1.71,0,0,15.1
242,49995,Pj,240.3,6.4,2.72,2.67,0,0,20
242,49996,Pj,245.7,7,3.15,3.01,0,0,17
242,49997,Pj,264.7,7.9,2.97,2.57,0,0,16.7
242,49999,Sb,250.6,10.4,2.59,3.47,0,0,14.1
242,50000,Sb,258.4,10.9,3.16,2.73,0,0,15.8
242,50001,Sb,278.7,2.3,2.48,2.14,0,0,16.6
242,50002,Sb,311,3.5,3.28,2.85,0,0,20
242,50003,Sb,281.1,4,2.63,2.3,0,0,15.4
242,50005,Pj,284.5,6.5,2.54,2.62,0,0,19.8
242,50006,Sb,298.1,5.6,2.86,2.87,0,0,14.5
242,50007,Pj,302.3,6,3.22,2.78,0,0,21.3
242,50008,Pj,310.4,7,2.49,2.66,0,0,19.6
242,50009,Pj,297.3,8.4,NA,NA,0,0,14
242,50010,Sb,291.8,8.1,2.68,2.06,0,0,17.4
242,50011,Sb,286.6,8.4,2.53,2.25,0,0,10.8
242,50012,Sb,289.4,9.3,2.19,2.5,0,0,12.7
242,50013,Sb,272,9.3,3.28,2.86,0,0,16.3
242,50014,Sb,269.3,10,2.96,2.56,0,0,13.1
242,50015,Pj,295.5,10.7,4.01,3.85,0,0,19.8
242,50016,Sb,297.5,10.2,3.35,3.16,0,0,15.2
242,50018,Sb,311.2,10.7,4.08,2.81,0,0,13.9
242,50019,Sb,356,5.8,1.66,1.81,0,0,12.3
242,50020,Sb,353,6.4,2.31,2.43,0,0,14.9
242,50021,Sb,330.5,8,1.95,2.35,0,0,14.6
242,50022,Sb,327.2,8.4,2.54,2.14,0,0,19.1
242,50023,Sb,347,9.6,3.18,3.44,0,0,16.7
242,50024,Pj,334.5,11.1,4.44,3.62,0,0,21.3
242,50025,Sb,337.9,11,2.77,2.66,0,0,18.5
242,50026,Sb,349,11.1,4.87,4.28,0,0,11.6
188,48436,Sb,159.7,2.2,1.89,1.95,0,0,9.3
188,48437,Pj,148.4,3.09,5.33,4.87,0,0,14.1
188,48438,Sb,140,3.47,1.85,1.89,0,0,9.1
188,48443,Sb,167,8.86,3.23,2.76,0,0,10.6
188,48444,Sb,160,10.51,2.65,2.76,0,0,10.3
188,48445,Sb,161,10.25,2.58,1.78,0,0,11.2
188,48446,Sb,165,9.94,2.91,1.7,0,0,10.3
188,48448,Sb,173,10.24,2.75,1.73,0,0,10.4
188,48449,Sb,173,10.46,1.68,1.29,0,0,10.2
188,48451,Sb,177,10.51,1.52,1.5,0,0,10.6
188,48453,Sb,207,1.29,1.55,0.97,0,0,10.2
188,48454,Sb,227,1.26,1.58,0.93,0,0,9.9
188,48455,Sb,215,1.43,1.61,1.53,0,0,9.9
188,48458,Sb,180,1.97,1.85,1.34,0,0,9.6
188,48725,Sb,226,6.12,1.86,1.58,0,0,10.3
188,48726,Sb,229,6.46,1.94,1.19,0,0,7.9
188,48732,Sb,224,9.32,2.69,2.29,0,0,11.7
188,48734,Sb,215,9.1,4.05,3.52,0,0,13.4
188,48735,Sb,190,11.07,1.87,1.71,0,0,9.4
188,48737,Sb,255,3.01,2.77,3.02,0,0,10.7
188,48738,Bf,230,4.27,2.12,1.81,0,0,8.6
188,48739,Sb,230,5.7,2.03,1.52,0,0,10.3
188,48740,Sb,240,6.43,1.83,2.26,0,0,10.1
188,48741,Sb,238,6.69,2,1.75,0,0,9.5
188,48742,Sb,242,6.84,1.97,2.1,0,0,10.5
188,48744,Pw,232,10.55,5.99,4.36,0,0,9.8
188,48745,Pw,232,10.75,5.38,5.72,0,0,10.9
188,48752,Sb,245,9.58,2.22,2.46,0,0,8.2
188,48754,Sb,247,10.03,2.23,2.27,0,0,10
188,48756,Sb,259,10.61,2.48,2.6,0,0,9.9
188,48757,Sb,275,7.85,2.42,2.41,0,0,9.9
188,48758,Pj,268,10.52,4.52,4.54,0,0,14.2
188,48759,Pj,269,10.36,4.42,4.88,0,0,12.3
